item_name,item_url
"Huggies Wonder Pants, Large (L) Size Baby Diaper Pants, 9 - 14 kg, Combo Pack of 2, 42 count Per Pack, 84 count, with Bubble Bed Technology for comfort",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A1045344Y1O4OROJI2Z4&url=%2FHuggies-Wonder-Pants-Large-Diaper%2Fdp%2FB08X3KG1T9%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3FYUO42MDKZ2G%26keywords%3Dmamy%2Bpoko%2Bpants%26qid%3D1646055826%26sprefix%3Dmamy%2Bpoko%2Bpan%252Caps%252C709%26sr%3D8-1-spons%26psc%3D1&qualifier=1646055826&id=457045283929513&widgetName=sp_atf
"Little's Baby Pants Diapers with Wetness Indicator and 12 Hours Absorption, Extra Large (XL), 12-17 kg, 48 Count",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08148282R66RKUHA5YEQ&url=%2FLittles-Diapers-Wetness-Indicator-Absorption%2Fdp%2FB08J12C3XR%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3FYUO42MDKZ2G%26keywords%3Dmamy%2Bpoko%2Bpants%26qid%3D1646055826%26sprefix%3Dmamy%2Bpoko%2Bpan%252Caps%252C709%26sr%3D8-2-spons%26psc%3D1&qualifier=1646055826&id=457045283929513&widgetName=sp_atf
"Huggies Premium Soft Pants, Extra Small / New Born (XS / NB) size newborn baby diaper pants, 20 count",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02045081T4M06WKGDLJN&url=%2FHuggies-Premium-Pants-Extra-diaper%2Fdp%2FB0866L2DS3%2Fref%3Dsr_1_3_sspa%3Fcrid%3D3FYUO42MDKZ2G%26keywords%3Dmamy%2Bpoko%2Bpants%26qid%3D1646055826%26sprefix%3Dmamy%2Bpoko%2Bpan%252Caps%252C709%26sr%3D8-3-spons%26psc%3D1&qualifier=1646055826&id=457045283929513&widgetName=sp_atf
"Huggies Nature Care Pants, Medium (M) Size Baby Diaper Pants, 62 Count, Nature’s gentle protection with organic cotton",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A033810738MP67BQNLQ9J&url=%2FHuggies-Nature-Pants-Medium-Diaper%2Fdp%2FB08JVJJJ3B%2Fref%3Dsr_1_4_sspa%3Fcrid%3D3FYUO42MDKZ2G%26keywords%3Dmamy%2Bpoko%2Bpants%26qid%3D1646055826%26sprefix%3Dmamy%2Bpoko%2Bpan%252Caps%252C709%26sr%3D8-4-spons%26psc%3D1&qualifier=1646055826&id=457045283929513&widgetName=sp_atf
"MamyPoko Pants Extra Absorb Diaper for New Born, suitable for up to 5 Kg of New Born, NB - 1 Size , Pack of 87 (NB 1 - 87) for Kids",https://www.amazon.in/MamyPoko-Pants-Absorb-Diaper-suitable/dp/B09J95P2LH/ref=sr_1_5?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-5
"MamyPoko Pants Extra Absorb Diaper - Medium Size, Pack of  96 Diapers (M-96) for Kids",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B09J95S27D/ref=sr_1_omk_6?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-6
"MamyPoko Pants Extra Absorb Diaper - Medium Size, Pack of  132 Diapers (M-132) for Kids",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B09J95LHZB/ref=sr_1_7?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-7
"MamyPoko Pants Extra Absorb Baby Diaper, Large (Pack of 56)",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B09J96M2WJ/ref=sr_1_8?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-8
"MamyPoko Pants Extra Absorb Diaper - Large Size, Pack of  112 Diapers (L-112) for Kids",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B09J972RDZ/ref=sr_1_9?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-9
"MamyPoko Pants Extra Absorb Diaper - Extra Large Size, Pack of  70 Diapers (XL-70) for Kids",https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Diaper/dp/B09J95JB61/ref=sr_1_10?crid=3FYUO42MDKZ2G&keywords=mamy+poko+pants&qid=1646055826&sprefix=mamy+poko+pan%2Caps%2C709&sr=8-10
